aika,kulutus_vaihe1_Wh,kulutus_vaihe2_Wh,kulutus_vaihe3_Wh,tuotanto_vaihe1_Wh,tuotanto_vaihe2_Wh,tuotanto_vaihe3_Wh
2025-10-13T00:00:00,400,60,80,0,10,15
2025-10-13T01:00:00,380,58,78,0,8,12
2025-10-13T02:00:00,360,55,75,0,6,10
2025-10-13T03:00:00,350,53,72,0,5,8
2025-10-13T04:00:00,370,57,76,0,7,10
2025-10-13T05:00:00,450,70,90,5,15,20
2025-10-13T06:00:00,550,85,110,20,40,60
2025-10-13T07:00:00,650,100,130,50,80,100
2025-10-13T08:00:00,600,90,120,80,120,150
2025-10-13T09:00:00,500,75,100,100,150,180
2025-10-13T10:00:00,470,70,95,110,160,190
2025-10-13T11:00:00,460,68,92,120,170,200
2025-10-13T12:00:00,480,72,98,130,180,210
2025-10-13T13:00:00,490,74,100,140,190,220
2025-10-13T14:00:00,510,78,105,150,200,230
2025-10-13T15:00:00,530,82,110,160,210,240
2025-10-13T16:00:00,570,88,115,170,220,250
2025-10-13T17:00:00,630,95,125,180,230,260
2025-10-13T18:00:00,670,105,135,190,240,270
2025-10-13T19:00:00,630,95,125,200,250,280
2025-10-13T20:00:00,550,85,110,210,260,290
2025-10-13T21:00:00,500,75,100,220,270,300
2025-10-13T22:00:00,450,65,90,230,280,310
2025-10-13T23:00:00,420,60,85,240,290,320
2025-10-14T00:00:00,440,58,80,0,8,12
2025-10-14T01:00:00,420,55,75,0,6,10
2025-10-14T02:00:00,410,53,72,0,5,8
2025-10-14T03:00:00,400,51,70,0,4,6
2025-10-14T04:00:00,430,57,76,0,6,9
2025-10-14T05:00:00,520,72,92,5,12,18
2025-10-14T06:00:00,650,88,112,25,45,65
2025-10-14T07:00:00,770,105,135,60,100,130
2025-10-14T08:00:00,710,95,125,90,140,170
2025-10-14T09:00:00,610,80,105,110,160,190
2025-10-14T10:00:00,580,75,100,120,170,200
2025-10-14T11:00:00,550,70,95,130,180,210
2025-10-14T12:00:00,570,75,100,140,190,220
2025-10-14T13:00:00,590,78,105,150,200,230
2025-10-14T14:00:00,610,82,110,160,210,240
2025-10-14T15:00:00,630,85,115,170,220,250
2025-10-14T16:00:00,680,92,122,180,230,260
2025-10-14T17:00:00,750,100,130,190,240,270
2025-10-14T18:00:00,810,110,140,200,250,280
2025-10-14T19:00:00,770,105,135,210,260,290
2025-10-14T20:00:00,710,95,125,220,270,300
2025-10-14T21:00:00,650,85,115,230,280,310
2025-10-14T22:00:00,590,75,105,240,290,320
2025-10-14T23:00:00,530,70,95,250,300,330
2025-10-15T00:00:00,420,58,78,0,5,8
2025-10-15T01:00:00,400,55,75,0,4,6
2025-10-15T02:00:00,390,53,72,0,3,5
2025-10-15T03:00:00,380,51,70,0,2,4
2025-10-15T04:00:00,410,57,76,0,4,7
2025-10-15T05:00:00,530,73,95,8,18,25
2025-10-15T06:00:00,680,95,125,30,60,80
2025-10-15T07:00:00,800,115,155,70,120,150
2025-10-15T08:00:00,730,105,140,100,160,190
2025-10-15T09:00:00,630,90,120,120,180,210
2025-10-15T10:00:00,600,85,115,130,190,220
2025-10-15T11:00:00,570,80,110,140,200,230
2025-10-15T12:00:00,590,83,112,150,210,240
2025-10-15T13:00:00,610,87,117,160,220,250
2025-10-15T14:00:00,630,90,122,170,230,260
2025-10-15T15:00:00,650,93,127,180,240,270
2025-10-15T16:00:00,700,100,135,190,250,280
2025-10-15T17:00:00,770,110,150,200,260,290
2025-10-15T18:00:00,830,120,160,210,270,300
2025-10-15T19:00:00,790,115,155,220,280,310
2025-10-15T20:00:00,730,105,140,230,290,320
2025-10-15T21:00:00,670,95,125,240,300,330
2025-10-15T22:00:00,610,85,110,250,310,340
2025-10-15T23:00:00,550,75,100,260,320,350
2025-10-16T00:00:00,440,60,80,0,6,10
2025-10-16T01:00:00,420,58,78,0,5,8
2025-10-16T02:00:00,410,56,75,0,4,6
2025-10-16T03:00:00,400,54,73,0,3,5
2025-10-16T04:00:00,430,60,80,0,5,8
2025-10-16T05:00:00,550,76,100,10,20,30
2025-10-16T06:00:00,700,100,130,35,70,90
2025-10-16T07:00:00,820,120,160,80,130,160
2025-10-16T08:00:00,750,110,145,110,170,200
2025-10-16T09:00:00,650,95,125,130,190,220
2025-10-16T10:00:00,620,90,120,140,200,230
2025-10-16T11:00:00,590,85,115,150,210,240
2025-10-16T12:00:00,610,88,118,160,220,250
2025-10-16T13:00:00,630,92,123,170,230,260
2025-10-16T14:00:00,650,95,128,180,240,270
2025-10-16T15:00:00,670,98,133,190,250,280
2025-10-16T16:00:00,720,105,140,200,260,290
2025-10-16T17:00:00,790,115,155,210,270,300
2025-10-16T18:00:00,850,125,165,220,280,310
2025-10-16T19:00:00,810,120,160,230,290,320
2025-10-16T20:00:00,750,110,145,240,300,330
2025-10-16T21:00:00,690,100,130,250,310,340
2025-10-16T22:00:00,630,90,115,260,320,350
2025-10-16T23:00:00,570,80,105,270,330,360
2025-10-17T00:00:00,460,63,83,0,7,11
2025-10-17T01:00:00,440,60,80,0,6,9
2025-10-17T02:00:00,430,58,78,0,5,8
2025-10-17T03:00:00,420,56,75,0,4,6
2025-10-17T04:00:00,450,62,82,0,6,9
2025-10-17T05:00:00,570,79,103,12,25,35
2025-10-17T06:00:00,720,105,135,40,80,100
2025-10-17T07:00:00,840,125,165,90,150,180
2025-10-17T08:00:00,770,115,150,120,190,220
2025-10-17T09:00:00,670,100,130,140,210,240
2025-10-17T10:00:00,640,95,125,150,220,250
2025-10-17T11:00:00,610,90,120,160,230,260
2025-10-17T12:00:00,630,93,123,170,240,270
2025-10-17T13:00:00,650,97,128,180,250,280
2025-10-17T14:00:00,670,100,133,190,260,290
2025-10-17T15:00:00,690,103,138,200,270,300
2025-10-17T16:00:00,740,110,145,210,280,310
2025-10-17T17:00:00,810,120,160,220,290,320
2025-10-17T18:00:00,870,130,170,230,300,330
2025-10-17T19:00:00,830,125,165,240,310,340
2025-10-17T20:00:00,770,115,150,250,320,350
2025-10-17T21:00:00,710,105,135,260,330,360
2025-10-17T22:00:00,650,95,120,270,340,370
2025-10-17T23:00:00,590,85,110,280,350,380
2025-10-18T00:00:00,480,66,86,0,8,12
2025-10-18T01:00:00,460,63,83,0,7,10
2025-10-18T02:00:00,450,61,80,0,6,9
2025-10-18T03:00:00,440,59,78,0,5,8
2025-10-18T04:00:00,470,65,85,0,7,10
2025-10-18T05:00:00,590,82,106,15,30,40
2025-10-18T06:00:00,740,110,140,45,90,110
2025-10-18T07:00:00,860,130,170,100,160,190
2025-10-18T08:00:00,790,120,155,130,200,230
2025-10-18T09:00:00,690,105,135,150,220,250
